trace_id,speed_phase,cvd_slope,anti_delta,rts_state,hostility_score,verdict,reason
trace_0001,DECAY,EXPANDING,55,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0002,EXPANDING,EXPANDING,33,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0003,DECAY,DIVERGENT,31,LIQUIDATION_WARNING,0.95,VETOED (NEUTRALIZED),RTS Liquidation Cascade Warning
trace_0004,DECAY,FLAT,31,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0005,EXPANDING,EXPANDING,23,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0006,DECAY,EXPANDING,89,NEUTRAL,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0007,REACCELERATION,EXPANDING,55,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0008,EXPANDING,EXPANDING,63,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0009,REACCELERATION,EXPANDING,63,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0010,EXPANDING,EXPANDING,65,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0011,REACCELERATION,DIVERGENT,25,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0012,DECAY,FLAT,68,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0013,EXPANDING,DIVERGENT,66,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0014,DECAY,EXPANDING,25,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0015,DECAY,EXPANDING,30,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0016,EXPANDING,EXPANDING,78,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0017,DECAY,FLAT,65,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0018,EXPANDING,DIVERGENT,29,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0019,DECAY,DIVERGENT,51,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0020,EXPANDING,FLAT,91,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
trace_0021,EXPANDING,DIVERGENT,27,ALIGNED,0.25,PASSED (ALLOCATED),CLEAN
trace_0022,EXPANDING,EXPANDING,71,NEUTRAL,0.25,PASSED (ALLOCATED),CLEAN
trace_0023,REACCELERATION,EXPANDING,92,ALIGNED,0.92,VETOED (NEUTRALIZED),False Reacceleration Trap (CVD Convergence)
trace_0024,DECAY,FLAT,83,ALIGNED,0.88,VETOED (NEUTRALIZED),Anti-Delta Pressure Overload
