feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,1492,59.58,2.95,0.788,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,1431,53.95,2.36,0.627,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:EXPANDING,213,52.58,2.33,0.63,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:EXPANDING,187,59.89,2.91,0.765,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:DIVERGENT,95,54.74,2.54,0.697,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:FLAT,48,58.33,2.52,0.633,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:FLAT,129,58.14,2.92,0.802,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:DIVERGENT,79,49.37,1.87,0.439,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:DIVERGENT,44,45.45,1.5,0.273,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:EXPANDING,111,55.86,2.28,0.564,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:FLAT,131,57.25,2.66,0.711,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:FLAT,129,55.81,2.65,0.73,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:DIVERGENT,86,61.63,3.37,0.91,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
