feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,1488,56.72,2.62,0.702,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:EXPANDING,212,57.55,2.64,0.696,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:FLAT,101,64.36,3.79,0.995,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,1483,53.0,2.27,0.599,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:DIVERGENT,88,59.09,3.03,0.832,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:EXPANDING,196,60.71,3.25,0.882,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:DIVERGENT,576,62.15,5.29,1.623,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:FLAT,137,60.58,3.01,0.791,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:EXPANDING,120,60.0,2.7,0.68,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:FLAT,113,61.06,3.29,0.893,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:FLAT,65,61.54,2.88,0.723,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
