context_pair,context_base,resolution_state,reason,api_pair_key,kraken_altname,kraken_wsname,kraken_base,kraken_quote,kraken_status,pair_decimals,lot_decimals
"AAVE/USD","AAVE","RESOLVED","","AAVEUSD","AAVEUSD","AAVE/USD","AAVE","USD","online","2","8"
"ADA/USD","ADA","RESOLVED","","ADAUSD","ADAUSD","ADA/USD","ADA","USD","online","6","8"
"ALGO/USD","ALGO","RESOLVED","","ALGOUSD","ALGOUSD","ALGO/USD","ALGO","USD","online","5","8"
"ARB/USD","ARB","RESOLVED","","ARBUSD","ARBUSD","ARB/USD","ARB","USD","online","4","5"
"ATOM/USD","ATOM","RESOLVED","","ATOMUSD","ATOMUSD","ATOM/USD","ATOM","USD","online","4","8"
"AVAX/USD","AVAX","RESOLVED","","AVAXUSD","AVAXUSD","AVAX/USD","AVAX","USD","online","3","8"
"BTC/USD","BTC","RESOLVED","","XXBTZUSD","XBTUSD","XBT/USD","BTC","USD","online","1","8"
"BCH/USD","BCH","RESOLVED","","BCHUSD","BCHUSD","BCH/USD","BCH","USD","online","2","8"
"BONK/USD","BONK","RESOLVED","","BONKUSD","BONKUSD","BONK/USD","BONK","USD","online","9","5"
"DOGE/USD","DOGE","RESOLVED","","XDGUSD","XDGUSD","XDG/USD","DOGE","USD","online","7","8"
"DOT/USD","DOT","RESOLVED","","DOTUSD","DOTUSD","DOT/USD","DOT","USD","online","4","8"
"ETH/USD","ETH","RESOLVED","","XETHZUSD","ETHUSD","ETH/USD","ETH","USD","online","2","8"
"ETC/USD","ETC","RESOLVED","","XETCZUSD","ETCUSD","ETC/USD","ETC","USD","online","3","8"
"FET/USD","FET","RESOLVED","","FETUSD","FETUSD","FET/USD","FET","USD","online","4","8"
"FIL/USD","FIL","RESOLVED","","FILUSD","FILUSD","FIL/USD","FIL","USD","online","3","8"
"INJ/USD","INJ","RESOLVED","","INJUSD","INJUSD","INJ/USD","INJ","USD","online","3","8"
"LINK/USD","LINK","RESOLVED","","LINKUSD","LINKUSD","LINK/USD","LINK","USD","online","5","8"
"LTC/USD","LTC","RESOLVED","","XLTCZUSD","LTCUSD","LTC/USD","LTC","USD","online","2","8"
"MATIC/USD","MATIC","UNRESOLVED","NO_ONLINE_KRAKEN_SPOT_USD_MARKET","","","","","USD","","",""
"NEAR/USD","NEAR","RESOLVED","","NEARUSD","NEARUSD","NEAR/USD","NEAR","USD","online","4","8"
"OP/USD","OP","RESOLVED","","OPUSD","OPUSD","OP/USD","OP","USD","online","4","5"
"PEPE/USD","PEPE","RESOLVED","","PEPEUSD","PEPEUSD","PEPE/USD","PEPE","USD","online","9","5"
"POL/USD","POL","RESOLVED","","POLUSD","POLUSD","POL/USD","POL","USD","online","5","5"
"RNDR/USD","RNDR","UNRESOLVED","NO_ONLINE_KRAKEN_SPOT_USD_MARKET","","","","","USD","","",""
"SEI/USD","SEI","RESOLVED","","SEIUSD","SEIUSD","SEI/USD","SEI","USD","online","5","5"
"SHIB/USD","SHIB","RESOLVED","","SHIBUSD","SHIBUSD","SHIB/USD","SHIB","USD","online","9","5"
"SOL/USD","SOL","RESOLVED","","SOLUSD","SOLUSD","SOL/USD","SOL","USD","online","2","8"
"SUI/USD","SUI","RESOLVED","","SUIUSD","SUIUSD","SUI/USD","SUI","USD","online","4","5"
"TIA/USD","TIA","RESOLVED","","TIAUSD","TIAUSD","TIA/USD","TIA","USD","online","4","5"
