symbol,status,bar_count,first_close,last_close,last_volume,checked_at_utc,error
AAVE,AVAILABLE,100,126.16,128.1,43.09499817,2026-09-15T00:08:52.278656+00:00,
ADA,AVAILABLE,100,0.208512,0.208301,13812.63020297,2026-09-15T00:08:52.631313+00:00,
AIXBT,AVAILABLE,100,0.01985,0.02023,0.0,2026-09-15T00:08:52.862099+00:00,
ALGO,AVAILABLE,100,0.09554,0.0962,37850.56475622,2026-09-15T00:08:53.130827+00:00,
APT,AVAILABLE,100,0.5888,0.5891,1186.8426018,2026-09-15T00:08:53.389503+00:00,
ARB,AVAILABLE,100,0.1351,0.1333,41419.96495,2026-09-15T00:08:53.655149+00:00,
ASTER,AVAILABLE,100,0.69774,0.70226,1754.05004,2026-09-15T00:08:53.890116+00:00,
ATOM,AVAILABLE,100,1.5466,1.5838,208.60100089,2026-09-15T00:08:54.143846+00:00,
AVAX,AVAILABLE,100,7.46,7.57,3317.02753423,2026-09-15T00:08:54.385383+00:00,
BCH,AVAILABLE,100,222.92,223.2,0.0,2026-09-15T00:08:54.626633+00:00,
BNB,AVAILABLE,100,722.17,719.99,24.73451,2026-09-15T00:08:54.873900+00:00,
BTC,AVAILABLE,100,78529.8,78162.7,9.41944046,2026-09-15T00:08:55.105167+00:00,
CRV,AVAILABLE,100,0.34951,0.34727,76.57056897,2026-09-15T00:08:55.244968+00:00,
DOGE,AVAILABLE,100,0.0838527,0.0835902,1697.70630567,2026-09-15T00:08:55.491358+00:00,
DOT,AVAILABLE,100,1.0099,0.9991,1582.98066133,2026-09-15T00:08:55.733048+00:00,
ETC,AVAILABLE,100,7.593,7.565,0.0,2026-09-15T00:08:55.978717+00:00,
ETH,AVAILABLE,100,2506.08,2512.84,75.86962256,2026-09-15T00:08:56.279111+00:00,
FARTCOIN,AVAILABLE,100,0.1413,0.1436,0.0,2026-09-15T00:08:56.548945+00:00,
FIL,AVAILABLE,100,0.962,0.93,24842.83863752,2026-09-15T00:08:56.844949+00:00,
GRASS,AVAILABLE,100,0.3173,0.3316,63.2812,2026-09-15T00:08:57.072418+00:00,
HBAR,AVAILABLE,100,0.07678,0.07781,6893.37514,2026-09-15T00:08:57.310336+00:00,
HYPE,AVAILABLE,100,79.94,80.2,2998.60831474,2026-09-15T00:08:57.554614+00:00,
INJ,AVAILABLE,100,6.201,6.28,298.38708442,2026-09-15T00:08:57.798642+00:00,
JTO,AVAILABLE,100,0.44026,0.4567,5287.40529,2026-09-15T00:08:58.036457+00:00,
JUP,AVAILABLE,100,0.23725,0.2385,14649.90653,2026-09-15T00:08:58.288434+00:00,
NEAR,AVAILABLE,100,2.3953,2.4725,8271.08014883,2026-09-15T00:08:58.532441+00:00,
ONDO,AVAILABLE,100,0.35125,0.35451,110.11231,2026-09-15T00:08:58.793701+00:00,
OP,AVAILABLE,100,0.0982,0.1024,325437.01712,2026-09-15T00:08:59.053563+00:00,
PENGU,AVAILABLE,100,0.007091,0.007116,98312.0858,2026-09-15T00:08:59.281247+00:00,
PNUT,AVAILABLE,100,0.0462,0.0462,0.0,2026-09-15T00:08:59.522478+00:00,
POL,AVAILABLE,100,0.09808,0.09668,309476.94697,2026-09-15T00:08:59.788704+00:00,
POPCAT,AVAILABLE,100,0.0467,0.047,0.0,2026-09-15T00:09:00.037440+00:00,
PUMP,AVAILABLE,100,0.003617,0.003686,118920.43,2026-09-15T00:09:00.272305+00:00,
RENDER,AVAILABLE,100,1.382,1.382,424.03287,2026-09-15T00:09:00.512644+00:00,
S,AVAILABLE,100,0.0267,0.0268,0.0,2026-09-15T00:09:00.753311+00:00,
SOL,AVAILABLE,100,102.0,102.58,3135.0213844,2026-09-15T00:09:00.994469+00:00,
STX,AVAILABLE,100,0.2662,0.2639,75.22483,2026-09-15T00:09:01.250625+00:00,
SUI,AVAILABLE,100,0.7234,0.7205,16870.26699,2026-09-15T00:09:01.481614+00:00,
TAO,AVAILABLE,100,233.3859,232.2835,16.90015,2026-09-15T00:09:01.738326+00:00,
TIA,AVAILABLE,100,0.3574,0.3569,3525.57545,2026-09-15T00:09:01.964189+00:00,
TRUMP,AVAILABLE,100,2.026,2.005,8.67519,2026-09-15T00:09:02.194434+00:00,
TRX,AVAILABLE,100,0.340615,0.337855,18901.65641494,2026-09-15T00:09:02.439133+00:00,
UNI,AVAILABLE,100,6.3683,6.5328,1514.47661251,2026-09-15T00:09:02.697853+00:00,
VIRTUAL,AVAILABLE,100,0.6228,0.6167,0.0,2026-09-15T00:09:02.945346+00:00,
WIF,AVAILABLE,100,0.1897,0.1878,13862.5065,2026-09-15T00:09:03.191379+00:00,
WLD,AVAILABLE,100,0.3843,0.3855,1047.9687,2026-09-15T00:09:03.430979+00:00,
XPL,AVAILABLE,100,0.0813,0.0841,1648.1752,2026-09-15T00:09:03.684452+00:00,
XRP,AVAILABLE,100,1.40265,1.42486,77966.63052523,2026-09-15T00:09:03.928128+00:00,
ZEC,AVAILABLE,100,1137.82,1164.61,16.23401768,2026-09-15T00:09:04.071619+00:00,
