feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:EXPANDING,236,43.22,0.76,-0.136,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:DIVERGENT,209,39.23,0.65,-0.215,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:FLAT,195,40.0,0.67,-0.2,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:EXPANDING,186,38.71,0.63,-0.226,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:DIVERGENT,211,33.65,0.51,-0.327,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:FLAT,209,37.8,0.61,-0.244,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,194,58.76,1.99,0.41,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:DIVERGENT,213,37.56,0.6,-0.249,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:DIVERGENT,209,37.32,0.6,-0.254,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:DIVERGENT,227,40.53,0.68,-0.189,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:FLAT,176,37.5,0.6,-0.25,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:FLAT,201,45.27,0.83,-0.095,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:FLAT,205,46.83,0.88,-0.063,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:EXPANDING,222,45.5,0.83,-0.09,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,196,53.57,1.85,0.396,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:FLAT,222,33.78,0.51,-0.324,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:DIVERGENT,198,34.34,0.52,-0.313,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:EXPANDING,185,51.89,1.51,0.245,NEGATIVE_OR_WEAK_EV,STAND_DOWN
