feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:DIVERGENT,29,41.38,0.71,-0.172,INSUFFICIENT_DATA (N=29/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:DIVERGENT,21,42.86,0.75,-0.143,INSUFFICIENT_DATA (N=21/30),OBSERVE
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:DIVERGENT,28,32.14,0.47,-0.357,INSUFFICIENT_DATA (N=28/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:DIVERGENT,29,31.03,0.45,-0.379,INSUFFICIENT_DATA (N=29/30),OBSERVE
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:FLAT,28,39.29,0.65,-0.214,INSUFFICIENT_DATA (N=28/30),OBSERVE
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:EXPANDING,30,53.33,1.71,0.333,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:DIVERGENT,25,32.0,0.47,-0.36,INSUFFICIENT_DATA (N=25/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:FLAT,24,50.0,1.0,0.0,INSUFFICIENT_DATA (N=24/30),OBSERVE
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,25,48.0,1.38,0.2,INSUFFICIENT_DATA (N=25/30),OBSERVE
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:FLAT,34,44.12,0.79,-0.118,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:False|CVD_SLOPE:EXPANDING,25,48.0,0.92,-0.04,INSUFFICIENT_DATA (N=25/30),OBSERVE
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:FLAT,21,42.86,0.75,-0.143,INSUFFICIENT_DATA (N=21/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:FLAT,33,21.21,0.27,-0.576,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:FLAT,29,37.93,0.61,-0.241,INSUFFICIENT_DATA (N=29/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:False|CVD_SLOPE:EXPANDING,29,27.59,0.38,-0.448,INSUFFICIENT_DATA (N=29/30),OBSERVE
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,28,71.43,5.0,1.143,INSUFFICIENT_DATA (N=28/30),OBSERVE
PRISM:AVAILABLE|SPEED:DECAY|RECLAIM:True|CVD_SLOPE:EXPANDING,30,33.33,0.5,-0.333,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:True|CVD_SLOPE:DIVERGENT,32,37.5,0.6,-0.25,NEGATIVE_OR_WEAK_EV,STAND_DOWN
