pair,expected_kraken_futures_symbol,m5_state_present,m5_state,m5_reason,expected_symbol_in_raw_ledger,coverage_status
"AAVE/USD","PF_AAVEUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ADA/USD","PF_ADAUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ALGO/USD","PF_ALGOUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ARB/USD","PF_ARBUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"ATOM/USD","PF_ATOMUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"AVAX/USD","PF_AVAXUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"BTC/USD","PF_XBTUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"BCH/USD","PF_BCHUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"BONK/USD","PF_BONKUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"DOGE/USD","PF_XDGUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"DOT/USD","PF_DOTUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ETH/USD","PF_ETHUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ETC/USD","PF_ETCUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"FET/USD","PF_FETUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"FIL/USD","PF_FILUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"INJ/USD","PF_INJUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"LINK/USD","PF_LINKUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"LTC/USD","PF_LTCUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"MATIC/USD","PF_MATICUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"NEAR/USD","PF_NEARUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"OP/USD","PF_OPUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"PEPE/USD","PF_PEPEUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"POL/USD","PF_POLUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"RNDR/USD","PF_RNDRUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"SEI/USD","PF_SEIUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"SHIB/USD","PF_SHIBUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"SOL/USD","PF_SOLUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"SUI/USD","PF_SUIUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"TIA/USD","PF_TIAUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"TON/USD","PF_TONUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"TRX/USD","PF_TRXUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"UNI/USD","PF_UNIUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"WIF/USD","PF_WIFUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"XLM/USD","PF_XLMUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"XRP/USD","PF_XRPUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"XTZ/USD","PF_XTZUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"APT/USD","PF_APTUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"CRV/USD","PF_CRVUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"DYDX/USD","PF_DYDXUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"EGLD/USD","PF_EGLDUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"ICP/USD","PF_ICPUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"IMX/USD","PF_IMXUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"KAS/USD","PF_KASUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"LDO/USD","PF_LDOUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"RUNE/USD","PF_RUNEUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"STX/USD","PF_STXUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"TAO/USD","PF_TAOUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
"WLD/USD","PF_WLDUSD","True","AVAILABLE","","True","M5_STATE_PRESENT"
"ZRX/USD","PF_ZRXUSD","False","","","False","EXPECTED_SYMBOL_ABSENT_FROM_LEDGER"
