symbol,direction,tier,review_state,score,market_type,shield,stale,age_seconds,price,entry,stop,target,risk_to_stop_pct,structure,tempo,flow,extended,correlation_cluster,cluster_role,micro_state,raw_status
NEAR,SHORT,REJECTED,BLOCK,84.0,UNKNOWN,CLEAR,True,,1.6057,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,SHORT:UNKNOWN,PRIMARY,OFF,UNKNOWN
AAVE,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,89.3,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,PRIMARY,OFF,UNKNOWN
ADA,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.173568,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
AIXBT,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.01736,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ALGO,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.07791,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
APT,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.5263,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ARB,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.0751,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ASTER,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.6005,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ATOM,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,1.4284,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
AVAX,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,6.339,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
BCH,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,204.04,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
BNB,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,602.53,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
BTC,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,64600.6,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
CRV,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.23982,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
DOGE,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.0703517,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
DOT,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.7481,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ETC,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,6.094,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ETH,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,1913.29,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
FARTCOIN,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.1409,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
FIL,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.634,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
GRASS,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.3171,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
HBAR,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.06628,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
HYPE,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,58.97,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
INJ,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,4.051,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
JTO,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.55981,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
JUP,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.16694,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ONDO,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.33023,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
OP,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.0822,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
PENGU,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.006042,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
PNUT,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.0421,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
POL,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.08243,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
POPCAT,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.041,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
PUMP,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.00285,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
RENDER,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,1.269,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
S,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.0215,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
SOL,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,77.16,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
STX,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.1192,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
SUI,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.6559,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
TAO,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,191.4029,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
TIA,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.2995,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
TRUMP,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,1.398,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
TRX,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.332828,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
UNI,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,3.299,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
VIRTUAL,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.5796,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
WIF,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.1367,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
WLD,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.3242,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
XPL,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,0.075,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
XRP,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,1.00178,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
ZEC,UNKNOWN,REJECTED,BLOCK,0.0,UNKNOWN,CLEAR,True,,510.54,,,,,UNKNOWN,UNKNOWN,UNKNOWN,False,UNKNOWN:UNKNOWN,DUPLICATE,OFF,UNKNOWN
