feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,1954,54.25,2.37,0.627,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:EXPANDING,743,59.08,3.03,0.832,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,2255,58.67,2.84,0.76,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:FLAT,91,60.44,2.75,0.692,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:FLAT,482,57.47,2.84,0.782,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:DIVERGENT,62,59.68,2.66,0.671,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:DIVERGENT,321,59.19,3.05,0.835,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:DIVERGENT,51,49.02,1.73,0.373,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:EXPANDING,170,61.76,2.91,0.729,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:FLAT,99,58.59,2.55,0.64,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:EXPANDING,164,64.63,3.29,0.81,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
