feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,2023,59.42,2.93,0.783,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:EXPANDING,141,56.03,2.29,0.569,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,1667,52.91,2.25,0.587,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:EXPANDING,691,58.03,2.9,0.799,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:FLAT,70,55.71,2.26,0.56,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:DIVERGENT,44,61.36,2.86,0.718,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:FLAT,450,60.67,3.24,0.881,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:DIVERGENT,265,55.09,2.58,0.708,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:EXPANDING,147,55.78,2.27,0.562,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:FLAT,78,56.41,2.33,0.579,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:DIVERGENT,62,61.29,2.85,0.716,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
