feature_key,sample_size,win_rate_pct,profit_factor,expected_value_r,confidence_status,recommended_posture
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:DIVERGENT,47,74.47,6.12,1.309,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:EXPANDING,18,66.67,3.6,0.867,INSUFFICIENT_DATA (N=18/30),OBSERVE
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:EXPANDING,16,56.25,2.31,0.575,INSUFFICIENT_DATA (N=16/30),OBSERVE
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:FLAT,52,61.54,3.36,0.908,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_SELL|RECLAIM:True|CVD_SLOPE:EXPANDING,52,53.85,2.45,0.669,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:REACCELERATION|RECLAIM:True|CVD_SLOPE:EXPANDING,92,45.65,1.68,0.37,NEGATIVE_OR_WEAK_EV,STAND_DOWN
PRISM:AVAILABLE|SPEED:EXPANDING|RECLAIM:False|CVD_SLOPE:EXPANDING,104,62.5,3.33,0.875,STATISTICALLY_VALIDATED,PRIORITY_REVIEW
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:DIVERGENT,11,54.55,2.16,0.527,INSUFFICIENT_DATA (N=11/30),OBSERVE
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:DIVERGENT,15,66.67,3.6,0.867,INSUFFICIENT_DATA (N=15/30),OBSERVE
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:True|CVD_SLOPE:FLAT,15,46.67,1.57,0.307,INSUFFICIENT_DATA (N=15/30),OBSERVE
PRISM:AVAILABLE|SPEED:ABSORPTION_BUY|RECLAIM:False|CVD_SLOPE:FLAT,19,73.68,5.04,1.063,INSUFFICIENT_DATA (N=19/30),OBSERVE
